timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1705310068870,1307,Homepage HTTP Request,200,OK,BC Thread Group 1-1,text,true,,215251,240,1,1,https://www.bunnycart.com/,564,0,188
1705310068870,564,Homepage HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1348,118,1,1,https://bunnycart.com/,564,0,188
1705310069436,741,Homepage HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,213903,122,1,1,https://www.bunnycart.com/,651,0,190
1705310070178,698,Aquatic Plant HTTP Request,200,OK,BC Thread Group 1-1,text,true,,304038,270,1,1,https://www.bunnycart.com/aquarium-plants,250,0,0
1705310070178,250,Aquatic Plant HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1367,133,1,1,https://bunnycart.com/aquarium-plants,250,0,0
1705310070430,446,Aquatic Plant HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,302671,137,1,1,https://www.bunnycart.com/aquarium-plants,265,0,0
1705310070877,645,Background HTTP Request,200,OK,BC Thread Group 1-1,text,true,,313406,322,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,249,0,0
1705310070877,249,Background HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1391,159,1,1,https://bunnycart.com/aquarium-plants/background-aquatic-plants,249,0,0
1705310071127,395,Background HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,312015,163,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,256,0,0
1705310071554,580,Hygrophila Araguaia HTTP Request,200,OK,BC Thread Group 1-1,text,true,,173019,308,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,245,0,0
1705310071554,245,Hygrophila Araguaia HTTP Request-0,301,Moved Permanently,BC Thread Group 1-1,text,true,,1382,152,1,1,https://bunnycart.com/aquatic-plants/hygrophila-araguaia,245,0,0
1705310071799,335,Hygrophila Araguaia HTTP Request-1,200,OK,BC Thread Group 1-1,text,true,,171637,156,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,320,0,0
1705310073877,839,Homepage HTTP Request,200,OK,BC Thread Group 1-2,text,true,,215255,240,1,1,https://www.bunnycart.com/,542,0,148
1705310073877,542,Homepage HTTP Request-0,301,Moved Permanently,BC Thread Group 1-2,text,true,,1350,118,1,1,https://bunnycart.com/,542,0,148
1705310074420,296,Homepage HTTP Request-1,200,OK,BC Thread Group 1-2,text,true,,213905,122,1,1,https://www.bunnycart.com/,266,0,78
1705310074720,448,Aquatic Plant HTTP Request,200,OK,BC Thread Group 1-2,text,true,,304007,270,1,1,https://www.bunnycart.com/aquarium-plants,253,0,0
1705310074720,253,Aquatic Plant HTTP Request-0,301,Moved Permanently,BC Thread Group 1-2,text,true,,1357,133,1,1,https://bunnycart.com/aquarium-plants,253,0,0
1705310074973,195,Aquatic Plant HTTP Request-1,200,OK,BC Thread Group 1-2,text,true,,302650,137,1,1,https://www.bunnycart.com/aquarium-plants,165,0,0
1705310075170,454,Background HTTP Request,200,OK,BC Thread Group 1-2,text,true,,313395,322,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,239,0,0
1705310075170,239,Background HTTP Request-0,301,Moved Permanently,BC Thread Group 1-2,text,true,,1385,159,1,1,https://bunnycart.com/aquarium-plants/background-aquatic-plants,239,0,0
1705310075410,214,Background HTTP Request-1,200,OK,BC Thread Group 1-2,text,true,,312010,163,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,185,0,0
1705310075656,442,Hygrophila Araguaia HTTP Request,200,OK,BC Thread Group 1-2,text,true,,173021,308,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,238,0,0
1705310075656,238,Hygrophila Araguaia HTTP Request-0,301,Moved Permanently,BC Thread Group 1-2,text,true,,1378,152,1,1,https://bunnycart.com/aquatic-plants/hygrophila-araguaia,238,0,0
1705310075894,204,Hygrophila Araguaia HTTP Request-1,200,OK,BC Thread Group 1-2,text,true,,171643,156,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,199,0,0
1705310078875,1329,Homepage HTTP Request,200,OK,BC Thread Group 1-3,text,true,,215249,240,1,1,https://www.bunnycart.com/,587,0,201
1705310078875,587,Homepage HTTP Request-0,301,Moved Permanently,BC Thread Group 1-3,text,true,,1352,118,1,1,https://bunnycart.com/,587,0,201
1705310079463,741,Homepage HTTP Request-1,200,OK,BC Thread Group 1-3,text,true,,213897,122,1,1,https://www.bunnycart.com/,654,0,178
1705310080205,664,Aquatic Plant HTTP Request,200,OK,BC Thread Group 1-3,text,true,,304037,270,1,1,https://www.bunnycart.com/aquarium-plants,274,0,0
1705310080205,274,Aquatic Plant HTTP Request-0,301,Moved Permanently,BC Thread Group 1-3,text,true,,1365,133,1,1,https://bunnycart.com/aquarium-plants,274,0,0
1705310080478,391,Aquatic Plant HTTP Request-1,200,OK,BC Thread Group 1-3,text,true,,302672,137,1,1,https://www.bunnycart.com/aquarium-plants,258,0,0
1705310080871,669,Background HTTP Request,200,OK,BC Thread Group 1-3,text,true,,313411,322,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,259,0,0
1705310080871,259,Background HTTP Request-0,301,Moved Permanently,BC Thread Group 1-3,text,true,,1397,159,1,1,https://bunnycart.com/aquarium-plants/background-aquatic-plants,259,0,0
1705310081130,410,Background HTTP Request-1,200,OK,BC Thread Group 1-3,text,true,,312014,163,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,277,0,0
1705310081557,614,Hygrophila Araguaia HTTP Request,200,OK,BC Thread Group 1-3,text,true,,173036,308,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,259,0,0
1705310081557,259,Hygrophila Araguaia HTTP Request-0,301,Moved Permanently,BC Thread Group 1-3,text,true,,1388,152,1,1,https://bunnycart.com/aquatic-plants/hygrophila-araguaia,259,0,0
1705310081816,355,Hygrophila Araguaia HTTP Request-1,200,OK,BC Thread Group 1-3,text,true,,171648,156,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,277,0,0
1705310083874,623,Homepage HTTP Request,200,OK,BC Thread Group 1-4,text,true,,215249,240,1,1,https://www.bunnycart.com/,270,0,89
1705310083874,270,Homepage HTTP Request-0,301,Moved Permanently,BC Thread Group 1-4,text,true,,1346,118,1,1,https://bunnycart.com/,270,0,89
1705310084145,352,Homepage HTTP Request-1,200,OK,BC Thread Group 1-4,text,true,,213903,122,1,1,https://www.bunnycart.com/,325,0,109
1705310084499,346,Aquatic Plant HTTP Request,200,OK,BC Thread Group 1-4,text,true,,304023,270,1,1,https://www.bunnycart.com/aquarium-plants,146,0,0
1705310084499,146,Aquatic Plant HTTP Request-0,301,Moved Permanently,BC Thread Group 1-4,text,true,,1363,133,1,1,https://bunnycart.com/aquarium-plants,146,0,0
1705310084645,200,Aquatic Plant HTTP Request-1,200,OK,BC Thread Group 1-4,text,true,,302660,137,1,1,https://www.bunnycart.com/aquarium-plants,174,0,0
1705310084846,350,Background HTTP Request,200,OK,BC Thread Group 1-4,text,true,,313393,322,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,171,0,0
1705310084846,171,Background HTTP Request-0,301,Moved Permanently,BC Thread Group 1-4,text,true,,1391,159,1,1,https://bunnycart.com/aquarium-plants/background-aquatic-plants,171,0,0
1705310085018,178,Background HTTP Request-1,200,OK,BC Thread Group 1-4,text,true,,312002,163,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,164,0,0
1705310085230,298,Hygrophila Araguaia HTTP Request,200,OK,BC Thread Group 1-4,text,true,,173033,308,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,142,0,0
1705310085230,142,Hygrophila Araguaia HTTP Request-0,301,Moved Permanently,BC Thread Group 1-4,text,true,,1386,152,1,1,https://bunnycart.com/aquatic-plants/hygrophila-araguaia,142,0,0
1705310085372,156,Hygrophila Araguaia HTTP Request-1,200,OK,BC Thread Group 1-4,text,true,,171647,156,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,151,0,0
1705310088876,1261,Homepage HTTP Request,200,OK,BC Thread Group 1-5,text,true,,215244,240,1,1,https://www.bunnycart.com/,568,0,152
1705310088876,568,Homepage HTTP Request-0,301,Moved Permanently,BC Thread Group 1-5,text,true,,1346,118,1,1,https://bunnycart.com/,568,0,152
1705310089445,692,Homepage HTTP Request-1,200,OK,BC Thread Group 1-5,text,true,,213898,122,1,1,https://www.bunnycart.com/,609,0,163
1705310090138,663,Aquatic Plant HTTP Request,200,OK,BC Thread Group 1-5,text,true,,304038,270,1,1,https://www.bunnycart.com/aquarium-plants,281,0,0
1705310090138,281,Aquatic Plant HTTP Request-0,301,Moved Permanently,BC Thread Group 1-5,text,true,,1369,133,1,1,https://bunnycart.com/aquarium-plants,281,0,0
1705310090419,382,Aquatic Plant HTTP Request-1,200,OK,BC Thread Group 1-5,text,true,,302669,137,1,1,https://www.bunnycart.com/aquarium-plants,258,0,0
1705310090802,688,Background HTTP Request,200,OK,BC Thread Group 1-5,text,true,,313408,322,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,280,0,0
1705310090802,280,Background HTTP Request-0,301,Moved Permanently,BC Thread Group 1-5,text,true,,1383,159,1,1,https://bunnycart.com/aquarium-plants/background-aquatic-plants,280,0,0
1705310091083,407,Background HTTP Request-1,200,OK,BC Thread Group 1-5,text,true,,312025,163,1,1,https://www.bunnycart.com/aquarium-plants/background-aquatic-plants,280,0,0
1705310091515,622,Hygrophila Araguaia HTTP Request,200,OK,BC Thread Group 1-5,text,true,,173026,308,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,277,0,0
1705310091515,277,Hygrophila Araguaia HTTP Request-0,301,Moved Permanently,BC Thread Group 1-5,text,true,,1378,152,1,1,https://bunnycart.com/aquatic-plants/hygrophila-araguaia,277,0,0
1705310091792,345,Hygrophila Araguaia HTTP Request-1,200,OK,BC Thread Group 1-5,text,true,,171648,156,1,1,https://www.bunnycart.com/aquatic-plants/hygrophila-araguaia,344,0,0
